espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
5177734,2026,Joshua Hughes,UNRESOLVED (no bbref row),19289,Evansville,,
4870564,2023,Joshua Jefferson,UNRESOLVED (no bbref row),19294,Iowa State,,
4870564,2023,Joshua Jefferson,UNRESOLVED (no bbref row),32461,Saint Mary's,,
4870564,2024,Joshua Jefferson,KEEP (bbref=Saint Mary's),48106,Saint Mary's,,
4870564,2024,Joshua Jefferson,DELETE (phantom),19295,Iowa State,48106,Saint Mary's
4684167,2022,Joshua O'Garro,UNRESOLVED (no bbref row),19299,Cal State Northridge,,
4684167,2022,Joshua O'Garro,UNRESOLVED (no bbref row),38763,San Jose State,,
4684167,2024,Joshua O'Garro,KEEP (bbref=Texas State),48641,Texas State,,
4684167,2024,Joshua O'Garro,DELETE (phantom),19301,Cal State Northridge,48641,Texas State
4684167,2025,Joshua O'Garro,KEEP (bbref=Texas State),53516,Texas State,,
4684167,2025,Joshua O'Garro,DELETE (phantom),19302,Cal State Northridge,53516,Texas State
5105822,2023,Joshua Ola-Joseph,KEEP (bbref=Minnesota),31370,Minnesota,,
5105822,2023,Joshua Ola-Joseph,DELETE (phantom),19304,Loyola (IL),31370,Minnesota
5105822,2024,Joshua Ola-Joseph,UNRESOLVED (no bbref row),19305,Loyola (IL),,
5105822,2024,Joshua Ola-Joseph,UNRESOLVED (no bbref row),47019,Minnesota,,
5105822,2025,Joshua Ola-Joseph,KEEP (bbref=California),50022,California,,
5105822,2025,Joshua Ola-Joseph,DELETE (phantom),19306,Loyola (IL),50022,California
5106291,2023,Josiah Davis,KEEP (bbref=West Virginia),33684,West Virginia,,
5106291,2023,Josiah Davis,DELETE (phantom),19317,Cal State Northridge,33684,West Virginia
5106291,2024,Josiah Davis,UNRESOLVED (no bbref row),19318,Cal State Northridge,,
5106291,2024,Josiah Davis,UNRESOLVED (no bbref row),48562,Tennessee Tech,,
5106291,2025,Josiah Davis,KEEP (bbref=Niagara),52106,Niagara,,
5106291,2025,Josiah Davis,DELETE (phantom),19319,Cal State Northridge,52106,Niagara
5093266,2025,Josiah Dotzler,KEEP (bbref=Saint Louis),52912,Saint Louis,,
5093266,2025,Josiah Dotzler,DELETE (phantom),19322,South Dakota,52912,Saint Louis
5176577,2024,Josiah Hammons,KEEP (bbref=Incarnate Word),46296,Incarnate Word,,
5176577,2024,Josiah Hammons,DELETE (phantom),19325,Illinois-Chicago,46296,Incarnate Word
5176577,2025,Josiah Hammons,UNRESOLVED (no bbref row),19326,Illinois-Chicago,,
5176577,2025,Josiah Hammons,UNRESOLVED (no bbref row),52950,Sam Houston,,
5106607,2023,Josiah Harris,UNRESOLVED (bbref=St. Francis (NY) matched 0 rows),19329,La Salle,,
5106607,2023,Josiah Harris,UNRESOLVED (bbref=St. Francis (NY) matched 0 rows),19328,Cleveland State,,
